@Relation Sheet2

@attribute att1 real
@attribute att2 real
@attribute att3 real
@attribute att4 real
@attribute targetClass {0,1}
 
@data
-0.671971065,-0.197252004,-0.321588232,1.188582246,0
-1.142950623,1.382887038,-2.665365173,-1.926192681,0
-0.599675332,1.011818884,0.640940243,-0.999492613,0
-0.336528956,1.280124368,1.625444384,0.229779289,0
0.724887741,1.397994881,0.540717338,1.299385985,0
-0.690979505,1.851296136,1.257189979,-1.321246828,0
-1.010353117,2.411954145,0.23339453,-2.70142209,0
-0.604076149,0.0127003,-0.722502591,1.158661007,0
-1.180810614,0.488276217,-2.2950735,-0.836905656,0
-1.584135134,1.938887297,-0.343497959,-1.808891739,0
1.381517905,0.413278147,-0.329089289,2.052051968,0
-0.131381057,1.731670298,-0.537090727,-0.362732635,0
-0.322072538,1.151393351,0.673121576,-0.708337211,0
-0.437312337,1.008300276,-1.607922968,0.193422238,0
-0.062271965,2.377361514,0.240161171,1.684067001,0
-1.826656444,2.01405476,0.680528274,-3.168734111,0
0.222169092,0.701287834,-2.172109816,0.607114998,0
-0.352195002,1.930479018,-0.517225089,-1.469502422,0
-0.498773716,1.670149802,1.142068413,-1.518860699,0
-0.642162377,0.968898692,-0.332887566,-0.216939497,0
1.540338417,0.883420969,-0.748975708,0.289865056,0
-1.306952981,0.588221726,-0.843083399,0.183240445,0
0.191764684,1.937698132,-0.260605475,-0.054227485,0
0.174339903,2.505932232,0.551017365,-1.522513458,0
1.018156581,0.774851176,0.857246505,1.529618885,0
-0.671204816,1.224678161,0.492027539,-0.588606781,0
-0.702291345,1.492113941,-0.716063369,2.320723524,0
0.643572093,1.271780891,-0.366801487,-1.427720235,0
-1.280282049,0.594126621,-1.30247372,-1.452990546,0
-0.12760097,1.620871106,1.27130761,-2.151008403,0
-0.83752866,-0.47845185,2.021042746,-2.2467907,0
-2.150754881,-0.052676453,-1.07109372,-0.984414328,0
2.203087206,0.535418738,-0.370158659,4.337143764,0
-0.422794528,-0.404323484,-0.389727575,0.414626129,0
-0.230409114,2.747748684,0.604534307,-0.894347068,0
-0.749280389,0.557294359,-0.683037342,-2.503759333,0
-0.235754669,0.365902568,-1.839380275,-0.745648094,0
0.548882326,1.352438292,-0.874497346,-0.274392278,0
3.169698175,1.192544576,-2.160122676,2.414021765,0
1.383907602,0.45351874,0.29783223,1.832527232,0
-2.339911589,2.216267265,-0.930126589,-2.991030215,0
0.35227572,0.619252549,-1.087391865,-0.702933676,0
-0.218171863,0.365902568,0.350892151,-0.422653557,0
-0.082750375,2.74669367,0.180945108,-0.536281277,0
-0.492027539,-0.507360139,-0.79514848,-1.212943062,0
0.243391014,0.142200977,-0.708471362,0.810238134,0
0.063191692,2.043665634,1.64141511,0.332750005,0
-0.766201538,-0.42113322,-1.840212462,-0.655550139,0
0.925419954,0.55391786,1.292355591,1.738644642,0
0.205496917,1.704642389,-1.015464477,1.124013806,0
0.717941475,1.04809749,0.430587761,0.788263606,0
0.287770945,1.746547357,-0.625794883,0.301502041,0
-0.940790414,1.93734343,0.600041403,-1.575074293,0
-0.701605813,0.995677626,-1.3125441,0.186199713,0
-0.705622369,1.438574261,0.462451908,-0.651856453,0
-0.563884441,-0.914595487,0.116040155,-0.214049578,0
-0.713494046,1.050013114,0.049935807,-0.985512543,0
3.455788828,0.456003934,-1.510466063,2.190295163,0
1.141040684,2.136504579,1.449197953,0.079537585,0
-0.757815997,3.613087418,0.404960474,-1.456880909,0
-0.646681428,2.158073246,0.267973519,1.093018227,0
-0.915954388,0.962544734,0.233945912,-0.096965778,0
0.029494913,0.716770844,1.125918061,0.870722943,0
1.139283086,1.100035322,0.311454187,0.004672529,0
1.946145858,2.061100647,-0.785009888,1.685698408,0
-1.121456989,-0.829503162,0.166112386,-1.641483323,0
-1.533608156,0.526366992,0.167897269,-1.88523245,0
-0.627098871,2.44788828,0.202841193,-1.372334282,0
0.64329015,0.930214472,-0.011818884,0.457910119,0
-0.377459628,2.766002242,-0.326183454,1.738316087,0
0.288329147,2.243647603,1.326059191,1.137758545,0
-1.041821633,-0.5737578,-0.802938303,-1.791203204,0
0.404213552,1.553422979,1.029397936,0.854440714,0
0.306239372,1.626819201,1.78524715,1.006084176,0
0.148298795,2.735197657,-1.858397809,1.023469167,0
-1.239513949,0.037797807,0.288329147,-2.129477252,0
0.509893425,-0.468938535,1.470511961,-0.016447075,0
-1.234252522,1.653390089,-2.024589776,-0.599968644,0
0.598577117,0.007457063,-0.116348247,0.396985342,0
0.493409971,0.677041842,-1.669109224,-0.453230768,0
0.906914011,1.099573754,-1.718553904,1.217164254,0
0.046183004,1.074463742,1.175756097,1.059214583,0
-0.011896191,2.182502274,1.533608156,0.351308245,0
0.072085413,3.558954293,-0.145050763,1.214888243,0
-1.234907359,0.31289949,-0.692048161,-0.582653001,0
-0.838290362,2.45822014,-0.396091764,-0.978704975,0
1.501666702,0.877334176,0.364020707,0.075051503,0
-0.063880634,-0.626590347,-1.418197826,-0.788670604,0
1.24930466,1.268131544,1.393536877,0.304696641,0
-0.574950718,1.721311153,-1.333096407,1.231396709,0
1.34566335,1.419283879,0.194493168,1.468329174,0
0.560928584,1.988545708,-0.388738499,-0.882175755,0
1.132864327,0.230306003,-1.198663995,1.016438773,0
0.808124696,0.434679694,0.719229547,0.866947403,0
-0.738184553,-0.143980626,1.249470643,-0.135300979,0
1.236548997,3.123733793,-2.304768714,1.807532044,0
-0.737682058,0.535504003,-0.169914074,0.061249921,0
0.76087872,2.688840712,-0.059512786,0.89434252,0
0.677925982,0.988563104,-1.657517714,1.353544121,0
-0.676964191,2.299085852,0.928712325,-0.403833837,0
-1.131819201,-0.902772055,-12.44143277,-0.054823653,1
1.065108452,1.786885721,5.909078027,1.765916527,1
2.480739229,-0.350217644,1.315356712,4.435554052,1
-0.330865871,-0.582529876,-1.644059466,0.52887413,1
0.950600795,0.240042143,17.79626473,2.606360118,1
0.449249799,2.101734597,-0.277339041,1.543443892,1
-0.674370651,2.606249498,-9.243649401,1.725255293,1
0.27322051,2.29217824,-21.66480044,1.479655344,1
3.189426596,0.470492185,-9.693985703,4.441336164,1
0.653334726,0.25375505,-12.87608029,1.233716608,1
0.335680059,2.029397936,0.340867246,1.707231382,1
0.756137186,2.793973752,-20.72602001,4.005717761,1
1.420203605,1.184523969,2.265619514,2.878063702,1
2.36755034,1.582094799,-12.23670552,4.388280791,1
